cluster,frase_exemplo,ativo_cluster,n_eventos,n_motivos_unicos,prompt_version,first_event_date,last_event_date,event_dates,frases_originais,seq_d0,seq_d1,seq_d2,seq_d3,seq_d4,seq_d5
10,Predomina um sentimento e desempenho negativo no setor de energia global.,EXXO34,19,19,news-cluster-v1,2021-04-05,2026-03-24,"[""2021-04-05"", ""2022-06-29"", ""2022-08-01"", ""2023-01-06"", ""2023-02-17"", ""2023-07-13"", ""2023-08-23"", ""2023-12-05"", ""2024-02-01"", ""2024-06-03"", ""2024-09-03"", ""2024-09-26"", ""2025-01-28"", ""2025-04-10"", ""2025-04-30"", ""2025-08-01"", ""2025-12-15"", ""2026-01-08"", ""2026-03-24""]","[""Desempenho negativo do setor de energia nos EUA"", ""Temores de recessão global afetando o setor de energia"", ""movimento negativo do setor de energia no exterior"", ""Sentimento negativo no setor de energia"", ""Sentimento negativo global para o setor de energia"", ""Sentimento negativo no setor de energia global"", ""Desempenho negativo do setor de energia nas bolsas globais"", ""Movimento global de queda no setor de energia"", ""Movimento global de baixa no setor de energia"", ""Desempenho negativo do setor de energia globalmente"", ""movimento negativo do setor de energia globalmente"", ""sentimento negativo no setor de energia"", ""Movimento negativo do setor de energia globalmente"", ""Sentimento negativo do setor de energia global"", ""Desvalorização do setor de energia globalmente"", ""Sentimento negativo no mercado global de energia"", ""Desempenho negativo do setor de energia global"", ""Sentimento positivo para empresas do setor de energia"", ""Sentimento positivo no setor de energia""]",-2.462485372835617,-0.37118293470340413,-0.04303705276297565,0.6907370800409288,-0.015037895922352287,
11,Variação no desempenho e na valorização das ações da Exxon Mobil nos mercados americano e internacional.,EXXO34,26,26,news-cluster-v1,2020-12-23,2026-02-24,"[""2020-12-23"", ""2021-05-18"", ""2021-07-14"", ""2022-02-11"", ""2022-03-30"", ""2022-04-11"", ""2022-12-12"", ""2022-12-27"", ""2023-02-17"", ""2023-08-17"", ""2024-04-10"", ""2024-06-03"", ""2024-07-17"", ""2024-07-25"", ""2024-09-03"", ""2024-09-10"", ""2024-09-24"", ""2024-12-11"", ""2024-12-23"", ""2025-01-31"", ""2025-05-26"", ""2025-06-06"", ""2025-07-07"", ""2025-07-10"", ""2025-07-25"", ""2026-02-24""]","[""Alta das ações da Exxon Mobil nos EUA"", ""Queda das ações da Exxon Mobil nos EUA"", ""Desempenho negativo das ações da Exxon Mobil nos EUA"", ""Desempenho positivo das ações da Exxon Mobil nos EUA"", ""Valorização das ações da Exxon Mobil nos EUA"", ""Queda nas ações da Exxon Mobil nos EUA"", ""Valorização das ações da Exxon Mobil no exterior"", ""Valorização dos ADRs da Exxon Mobil nos EUA"", ""Queda das ações da Exxon Mobil no mercado americano"", ""Acompanhamento do desempenho positivo das ações da Exxon Mobil nos EUA"", ""Valorização dos ADRs da Exxon Mobil"", ""Queda das ações da ExxonMobil nos EUA"", ""Alta das ações da Exxon Mobil no exterior"", ""Alta das ações da Exxon Mobil no mercado internacional"", ""queda das ações da Exxon Mobil nos EUA"", ""Desvalorização das ações da Exxon Mobil nos EUA"", ""Desvalorização das ações da Exxon Mobil no exterior"", ""Desvalorização das ações da Exxon Mobil no mercado internacional"", ""Valorização das ações da Exxon Mobil no mercado internacional"", ""Queda das ações da Exxon Mobil no exterior"", ""Alta das ações da ExxonMobil nos EUA"", ""Acompanhamento do desempenho positivo das ações da Exxon Mobil no exterior"", ""Desempenho negativo das ações da Exxon Mobil no exterior"", ""Desempenho positivo da Exxon Mobil no exterior"", ""Desempenho positivo das ações da Exxon Mobil no exterior"", ""Acompanhamento do desempenho das ações da Exxon Mobil no exterior""]",0.12743314851964777,-0.38994928993707106,-0.199670578576995,-0.7786489545489255,,
12,Previsão de restrição na oferta global.,EXXO34,2,2,news-cluster-v1,2022-04-07,2022-08-23,"[""2022-04-07"", ""2022-08-23""]","[""Perspectiva de oferta restrita no mercado global"", ""Expectativas de restrição de oferta global""]",2.6294813317268013,,,,,
13,Cortes de produção de petróleo pela OPEP+ impactam os preços do petróleo.,EXXO34,6,6,news-cluster-v1,2021-03-04,2023-04-03,"[""2021-03-04"", ""2021-03-05"", ""2022-09-02"", ""2022-10-04"", ""2022-10-06"", ""2023-04-03""]","[""Expectativa de cortes de produção pela OPEP+"", ""Decisão da Opep+ de manter cortes de produção"", ""Expectativa de corte de produção pela OPEP+"", ""Alta do petróleo devido ao corte de produção da OPEP+"", ""Corte de produção anunciado pela OPEP+"", ""Corte de produção de petróleo pela OPEP+""]",3.9062333955658985,0.6623800205567862,,,,
14,Otimismo generalizado com o desempenho do setor de energia e petróleo em âmbito global.,EXXO34,23,23,news-cluster-v1,2021-07-21,2026-03-20,"[""2021-07-21"", ""2021-10-26"", ""2022-01-04"", ""2022-01-05"", ""2022-05-11"", ""2022-06-24"", ""2022-06-28"", ""2022-07-19"", ""2022-10-24"", ""2022-11-25"", ""2023-01-26"", ""2023-02-10"", ""2023-04-18"", ""2023-07-20"", ""2023-08-03"", ""2023-08-11"", ""2023-12-14"", ""2024-01-25"", ""2024-06-28"", ""2025-03-14"", ""2025-11-07"", ""2026-02-24"", ""2026-03-20""]","[""Otimismo global com o setor de energia"", ""Otimismo com resultados trimestrais do setor de energia"", ""Otimismo global com setor de energia"", ""Expectativas positivas para o setor de energia"", ""Otimismo com empresas do setor de energia"", ""Otimismo com demanda global de energia"", ""Otimismo com o setor de energia"", ""Otimismo com resultados do setor de energia"", ""Expectativa positiva para resultados trimestrais do setor de energia"", ""Otimismo com o setor de energia nos EUA"", ""Otimismo do mercado com o setor de energia"", ""Otimismo global com empresas de energia"", ""Otimismo do mercado internacional de petróleo"", ""Otimismo com o setor de energia global"", ""Otimismo dos investidores com o setor de energia"", ""Otimismo geral no setor de energia"", ""Otimismo com o setor de energia globalmente"", ""Otimismo do mercado internacional de energia"", ""Otimismo com o setor de energia e petróleo"", ""Otimismo com o setor de energia devido à alta do petróleo"", ""Otimismo global com empresas do setor de energia"", ""Oscilação do mercado internacional de energia"", ""Otimismo com resultados de empresas do setor de energia""]",2.7564032546980566,-0.6552149262115211,-0.2645929017914542,-0.36571252130272536,-0.22527066178504673,-0.6413477867507178
15,Impacto das preocupações globais com a variante Ômicron.,EXXO34,4,4,news-cluster-v1,2021-11-26,2021-12-17,"[""2021-11-26"", ""2021-11-29"", ""2021-11-30"", ""2021-12-17""]","[""Temor global com a variante Ômicron"", ""Alívio dos temores sobre a variante Ômicron"", ""Temores sobre a variante Ômicron"", ""Preocupações globais com a variante Ômicron""]",-1.643228346176802,0.7064051780435602,,,,
16,Falta de novidades ou eventos relevantes envolvendo a empresa.,EXXO34,4,4,news-cluster-v1,2026-01-06,2026-03-04,"[""2026-01-06"", ""2026-01-29"", ""2026-02-03"", ""2026-03-04""]","[""Ausência de notícias positivas sobre a empresa"", ""Ausência de eventos corporativos relevantes"", ""Ausência de fatos relevantes"", ""Ausência de notícias corporativas relevantes""]",0.41718739193808163,1.3990561572288114,-2.1558712516233696,,,
17,Oscilação normal de mercado,EXXO34,3,3,news-cluster-v1,2026-01-29,2026-02-12,"[""2026-01-29"", ""2026-02-03"", ""2026-02-12""]","[""Oscilação normal de mercado"", ""Oscilação normal do mercado"", ""Oscilação do mercado""]",1.283028249969383,0.4032498716593565,-2.1558712516233696,,,
18,Realização de lucros e valorização no setor de energia.,EXXO34,5,5,news-cluster-v1,2021-01-18,2026-01-05,"[""2021-01-18"", ""2021-03-11"", ""2021-11-11"", ""2022-10-27"", ""2026-01-05""]","[""realização de lucros no setor de energia"", ""Realização de lucros no setor de energia"", ""Movimento global de realização de lucros no setor de energia"", ""Movimento de realização de lucros no setor de energia"", ""Valorização do setor de energia""]",-1.6826264378974234,1.2915213280101057,-0.31296782975331994,,,
19,Preocupações com os impactos da pandemia de COVID-19 no mercado.,EXXO34,4,4,news-cluster-v1,2020-12-14,2021-11-19,"[""2020-12-14"", ""2021-03-16"", ""2021-07-16"", ""2021-11-19""]","[""Preocupações com a pandemia de COVID-19"", ""preocupações globais com a pandemia de COVID-19"", ""Preocupações com a variante Delta da Covid-19"", ""Preocupações com restrições de Covid-19 na Europa""]",-3.256198463866734,0.33938981117791983,,,,
20,Otimismo com a recuperação econômica e da demanda global.,EXXO34,8,8,news-cluster-v1,2020-12-04,2021-09-23,"[""2020-12-04"", ""2021-01-05"", ""2021-01-06"", ""2021-02-24"", ""2021-05-17"", ""2021-09-15"", ""2021-09-22"", ""2021-09-23""]","[""Otimismo com recuperação econômica global"", ""Expectativas de recuperação econômica global"", ""Expectativa de recuperação econômica global"", ""Perspectiva de recuperação econômica global"", ""Otimismo com a reabertura econômica global"", ""Expectativa de recuperação da demanda global"", ""Otimismo global com recuperação econômica"", ""Expectativas de recuperação da demanda global""]",3.1546016508378947,-0.44546677635083043,,,,
21,Investidores realizam lucros após altas recentes e divulgação de resultados.,EXXO34,11,11,news-cluster-v1,2020-12-07,2025-08-04,"[""2020-12-07"", ""2021-02-09"", ""2021-02-11"", ""2021-10-27"", ""2022-02-08"", ""2022-03-28"", ""2022-08-01"", ""2023-02-01"", ""2023-02-02"", ""2025-01-08"", ""2025-08-04""]","[""Realização de lucros após alta recente"", ""Realização de lucros após alta anterior"", ""realização de lucros"", ""Realização de lucros por investidores"", ""realização de lucros após altas recentes"", ""Realização de lucros após altas anteriores"", ""realização de lucros após resultados trimestrais"", ""Realização de lucros após divulgação de resultados trimestrais globais"", ""Realização de lucros após divulgação de resultados recentes"", ""realização de lucros após altas anteriores"", ""realização de lucros após alta anterior""]",-2.6822173811352727,0.7076627920438106,,,,
22,Redução das preocupações com a inflação nos EUA.,EXXO34,2,2,news-cluster-v1,2022-11-10,2022-11-11,"[""2022-11-10"", ""2022-11-11""]","[""Inflação dos EUA abaixo do esperado"", ""Alívio nas preocupações com inflação nos EUA""]",4.334216224281862,-0.1712285430725487,,,,
23,Expectativas positivas para a demanda global.,EXXO34,1,1,news-cluster-v1,2021-11-23,2021-11-23,"[""2021-11-23""]","[""Expectativas positivas para demanda global""]",2.4834612493199315,,,,,
24,Riscos no setor bancário internacional impactam o desempenho do ativo.,EXXO34,1,1,news-cluster-v1,2023-03-15,2023-03-15,"[""2023-03-15""]","[""Preocupações com o setor bancário internacional""]",-4.592257638180858,-1.0346574218240667,,,,
25,Aquisição da Pioneer Natural Resources pela Exxon Mobil.,EXXO34,1,1,news-cluster-v1,2023-10-09,2023-10-09,"[""2023-10-09""]","[""Anúncio de aquisição da Pioneer Natural Resources pela Exxon Mobil""]",2.3706399147537596,-1.0166708361984624,,,,
26,Queda generalizada nos mercados globais,EXXO34,1,1,news-cluster-v1,2022-06-15,2022-06-15,"[""2022-06-15""]","[""Queda generalizada nos mercados globais""]",-3.282830311015736,,,,,
27,Elevação dos estoques de petróleo nos EUA.,EXXO34,1,1,news-cluster-v1,2021-03-18,2021-03-18,"[""2021-03-18""]","[""Aumento dos estoques de petróleo nos EUA""]",-4.534613290051148,,,,,
28,Divulgação de dados operacionais positivos e robustos.,EXXO34,2,2,news-cluster-v1,2024-10-01,2025-07-10,"[""2024-10-01"", ""2025-07-10""]","[""Divulgação de dados operacionais positivos"", ""Divulgação de dados operacionais robustos""]",2.5440274988978566,1.098642281050859,,,,
29,Impactos de incertezas geopolíticas e lockdowns na China.,EXXO34,1,1,news-cluster-v1,2022-03-15,2022-03-15,"[""2022-03-15""]","[""Incertezas geopolíticas e lockdowns na China""]",-3.7460317460317456,,,,,
30,Expectativa de crescimento na demanda global por energia.,EXXO34,4,4,news-cluster-v1,2021-09-13,2022-06-07,"[""2021-09-13"", ""2021-09-27"", ""2022-06-01"", ""2022-06-07""]","[""Perspectiva positiva para demanda global de energia"", ""Perspectiva de aumento da demanda global por energia"", ""Perspectiva de maior demanda global por energia"", ""Perspectiva de aumento da demanda global""]",3.738651205726936,-0.7320335329157304,,,,
31,Retomada das exportações de petróleo do Irã.,EXXO34,1,1,news-cluster-v1,2022-02-15,2022-02-15,"[""2022-02-15""]","[""Possível retomada das exportações de petróleo do Irã""]",-2.8787436941720923,,,,,
32,Perspectiva positiva para crescimento das operações e reservas impulsionada por estímulos econômicos e recuperação do petróleo.,EXXO34,2,2,news-cluster-v1,2020-12-23,2023-10-09,"[""2020-12-23"", ""2023-10-09""]","[""Otimismo com estímulos econômicos e recuperação do petróleo"", ""Otimismo com expansão das operações e reservas de petróleo""]",2.321687031636409,-1.0166708361984624,,,,
33,Aumento da demanda por empresas de energia devido ao conflito Rússia-Ucrânia.,EXXO34,1,1,news-cluster-v1,2022-03-10,2022-03-10,"[""2022-03-10""]","[""Conflito Rússia-Ucrânia elevando demanda por empresas de energia""]",4.087997325728822,,,,,
34,Movimento técnico do mercado,EXXO34,1,1,news-cluster-v1,2026-03-12,2026-03-12,"[""2026-03-12""]","[""Movimento técnico do mercado""]",,,,,,
35,Incertezas regulatórias e ambientais impactam grandes petrolíferas.,EXXO34,1,1,news-cluster-v1,2021-05-25,2021-05-25,"[""2021-05-25""]","[""Incertezas regulatórias e ambientais sobre grandes petrolíferas""]",-2.3215180439756105,0.7965076473415612,,,,
36,A valorização do EXXO34 está relacionada à alta do dólar após decisões do Federal Reserve dos EUA.,EXXO34,1,1,news-cluster-v1,2021-06-17,2021-06-17,"[""2021-06-17""]","[""Apreciação do dólar após decisão do Federal Reserve dos EUA""]",-3.575383824855656,,,,,
37,Preços do petróleo sobem em função da guerra na Ucrânia.,EXXO34,1,1,news-cluster-v1,2022-02-25,2022-02-25,"[""2022-02-25""]","[""Alta dos preços do petróleo devido à guerra na Ucrânia""]",3.510970306395342,,,,,
38,Impacto do discurso hawkish do Fed em Jackson Hole sobre o mercado.,EXXO34,1,1,news-cluster-v1,2022-08-26,2022-08-26,"[""2022-08-26""]","[""Discurso hawkish do Fed em Jackson Hole""]",-2.407746045006551,1.9914616207044533,,,,
39,Impacto negativo das oscilações do mercado internacional de petróleo.,EXXO34,1,1,news-cluster-v1,2024-04-26,2024-04-26,"[""2024-04-26""]","[""Reação negativa do mercado internacional de petróleo""]",-3.089739751412503,1.3890911343840358,,,,
40,Influência de fatores macroeconômicos,EXXO34,1,1,news-cluster-v1,2026-01-07,2026-01-07,"[""2026-01-07""]","[""Influência de fatores macroeconômicos""]",-1.9211939199365449,,,,,
41,Desempenho do EXXO34 impactado pela queda das bolsas globais.,EXXO34,1,1,news-cluster-v1,2022-05-09,2022-05-09,"[""2022-05-09""]","[""Queda das bolsas globais""]",-6.426517845760231,,,,,
42,Perspectiva positiva devido a possíveis estímulos econômicos nos EUA.,EXXO34,2,2,news-cluster-v1,2021-01-14,2021-01-15,"[""2021-01-14"", ""2021-01-15""]","[""Otimismo com estímulos econômicos nos EUA"", ""Expectativas de estímulos econômicos nos EUA""]",2.158872621647535,-3.853044613184443,,,,
43,Incertezas sobre a demanda global devido à variante Delta.,EXXO34,1,1,news-cluster-v1,2021-08-19,2021-08-19,"[""2021-08-19""]","[""Temores sobre impacto da variante Delta na demanda global""]",-2.4656451722699013,,,,,
44,Aversão ao risco nos mercados globais impacta o setor de energia e commodities.,EXXO34,11,11,news-cluster-v1,2021-03-31,2025-06-24,"[""2021-03-31"", ""2021-12-30"", ""2022-12-22"", ""2023-03-08"", ""2023-07-14"", ""2023-10-11"", ""2024-09-24"", ""2024-12-11"", ""2024-12-17"", ""2025-04-08"", ""2025-06-24""]","[""Aversão ao risco nos mercados globais"", ""Movimento de aversão a risco global no setor de energia"", ""Aversão ao risco em mercados globais"", ""Movimento global de aversão a risco em commodities"", ""Movimento global de aversão a risco no setor de energia"", ""Aversão global ao risco impactando mercados de energia"", ""Movimento geral de aversão a risco no mercado global"", ""Movimento de aversão ao risco em mercados globais de energia"", ""Movimento de aversão ao risco no mercado global de energia"", ""movimento de aversão a risco em mercados globais"", ""Movimento de aversão a risco em mercados globais""]",-2.8978106060161006,0.9060518074164312,,,,
45,Impacto da elevação dos juros pelo Federal Reserve.,EXXO34,1,1,news-cluster-v1,2022-06-15,2022-06-15,"[""2022-06-15""]","[""Alta dos juros pelo Federal Reserve""]",-3.282830311015736,,,,,
46,Expectativas otimistas para o desempenho financeiro do setor de energia.,EXXO34,3,3,news-cluster-v1,2021-10-01,2022-02-25,"[""2021-10-01"", ""2021-10-08"", ""2022-02-25""]","[""Perspectiva positiva para empresas de energia"", ""Perspectiva positiva para o setor de energia"", ""Perspectiva de maiores receitas para empresas de energia""]",2.698308723749299,0.8962710811022814,,,,
47,Cortes de produção pela Arábia Saudita,EXXO34,1,1,news-cluster-v1,2021-01-07,2021-01-07,"[""2021-01-07""]","[""Cortes de produção pela Arábia Saudita""]",3.616294369903053,,,,,
48,Ajustes no setor de energia global.,EXXO34,1,1,news-cluster-v1,2021-02-11,2021-02-11,"[""2021-02-11""]","[""ajustes no setor de energia global""]",-3.0016144245219376,,,,,
49,Volatilidade nos mercados globais impacta o ativo devido à guerra na Ucrânia e decisões do Fed sobre juros.,EXXO34,1,1,news-cluster-v1,2022-03-16,2022-03-16,"[""2022-03-16""]","[""Volatilidade nos mercados globais devido à guerra na Ucrânia e decisão do Fed sobre juros""]",-2.4548534355471574,,,,,
